focal_district,district
Adilabad,Yavatmal
Adilabad,Chandrapur
Adilabad,Nizamabad
Adilabad,Karimnagar
Agra,Mathura
Agra,Dhaulpur
Agra,Firozabad
Agra,Bharatpur
Agra,Pakistan
Ahmedabad,Mahesana
Ahmedabad,Sabarkantha
Ahmedabad,Gandhinagar
Ahmedabad,Kheda
Ahmedabad,Bhavnagar
Ahmedabad,Surendranagar
Ahmednagar,Solapur
Ahmednagar,Osmanabad
Ahmednagar,Bid
Ahmednagar,"Gaya, Nawada, and Aurangabad"
Ahmednagar,Nashik
Ahmednagar,Thane
Ahmednagar,Pune
Ajmer,Tonk
Ajmer,Bundi
Ajmer,Jaipur
Ajmer,Bhilwara
Ajmer,Pali
Ajmer,Rajsamand
Ajmer,Nagaur
Akola,Amravati
Akola,Washim
Akola,Buldhana
Alappuzha,Ernakulam
Alappuzha,Kottayam
Alappuzha,Pathanamthitta
Alappuzha,Kollam
Aligarh,Gautam Buddh Nagar
Aligarh,Bulandshahr
Aligarh,Budaun
Aligarh,Faridabad Kanshiram Nagar
Aligarh,Mathura
Aligarh,Mahamaya Nagar
Aligarh,Etah
Allahabad,Kaushambi
Allahabad,Mizrapur
Allahabad,Jaunpur
Allahabad,Partapgarh
Allahabad,Chitrakut
Allahabad,Rewa
Allahabad,Sidhi
Almora,Chamoli
Almora,Bageshwar
Almora,Pithoragarh
Almora,Champawat
Almora,Nainital
Almora,Pauri Garhwal
Alwar,Mahendragarh
Alwar,Rewari
Alwar,Mewat
Alwar,Jaipur
Alwar,Dausa
Alwar,Bharatpur
Ambala,Haryana
Ambala,Punjab
Ambala,Delhi
Ambala,Chandigarh
Ambala,Amritsar
Ambala,Shimla
Ambedkar Nagar,Faizabad
Ambedkar Nagar,Basti
Ambedkar Nagar,Sultanpur
Ambedkar Nagar,Sant Kabir Nagar
Ambedkar Nagar,Gorakhpur
Ambedkar Nagar,Azamgarh
Amravati,Betul
Amravati,Wardha
Amravati,Nagpur And Wardha
Amravati,Washim
Amravati,Hingoli
Amravati,Chandrapur
Amravati,Yavatmal
Amravati,Nanded
Amravati,Adilabad
Amreli,Rajkot
Amreli,Junagadh
Amreli,Bhavnagar
Amritsar,Firozpur
Amritsar,Kapurthala
Amritsar,Gurdaspur
Amritsar,Pakistan
Anand,Kheda
Anand,Vadodara
Anand,Ahmedabad
Anand,Cambay
Anantapur,Bellary
Anantapur,Cuddapah
Anantapur,Chittoor
Anantapur,Kurnool
Anantapur,Chitradurga
Anantapur,Tumkur
Anantnag,Srinagar
Anantnag,Ganderbal
Anantnag,Kargil
Anantnag,Pulwama
Anantnag,Kulgam
Anantnag,Kishtwar
Anantnag,Ramban
Anantnag,Doda
Angul,Dhenkanal
Angul,Boudh
Angul,Cuttack
Angul,Sambalpur
Angul,Kendujhar
Angul,Debagarh
Araria,Supaul
Araria,Madhepura
Araria,Purnia and Katihar
Araria,Kishanganj
Azamgarh,Mau
Azamgarh,Gorakhpur
Azamgarh,Ghazipur
Azamgarh,Jaunpur
Azamgarh,Sultanpur
Azamgarh,Ambedkar Nagar
Bagalkot,Belgaum
Bagalkot,Bijapur
Bagalkot,Koppal
