state,district,year,new_parties,new_parties_caste,new_parties_socialist,new_parties_communist,new_parties_secular,new_parties_nationalist,new_parties_economic,new_parties_liberal,new_parties_religious,new_parties_ethnic,new_parties_farleft,new_parties_national_scope,new_parties_state_scope,new_parties_regional_scope,new_parties_subnational_scope,new_parties_farright,new_parties_farming,voting_participation,total_parties,political_concentration
Andhra Pradesh,Adilabad,1951,2,0,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0.44700685,2,5000
Andhra Pradesh,Adilabad,1957,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.48282948,2,5000
Andhra Pradesh,Adilabad,1962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5451206,2,2500
Andhra Pradesh,Adilabad,1967,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.61105722,3,3333.3333
Andhra Pradesh,Adilabad,1971,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.58903503,2,5000
Andhra Pradesh,Adilabad,1977,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.56644976,3,3333.3333
Andhra Pradesh,Adilabad,1980,3,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0.55721378,4,1666.6666
Andhra Pradesh,Adilabad,1984,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.63523889,3,2500
Andhra Pradesh,Adilabad,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65344864,3,2000
Andhra Pradesh,Adilabad,1991,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.59177715,4,1111.1111
Andhra Pradesh,Adilabad,1996,5,2,2,0,0,0,0,2,0,1,2,0,1,4,5,0,0,0.64042997,9,625
Andhra Pradesh,Adilabad,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69785261,4,1428.5714
Andhra Pradesh,Adilabad,1999,2,1,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0.70342177,6,1428.5714
Andhra Pradesh,Anantapur,1951,4,0,1,0,1,1,0,1,0,0,1,2,0,1,1,0,0,0.61715287,4,1666.6924
Andhra Pradesh,Anantapur,1957,2,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0.45987764,4,1796.4146
Andhra Pradesh,Anantapur,1962,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.64410931,4,1005.2456
