district,state,year,name,party_name,incumbent,winner
Kanpur Nagar,Uttar Pradesh,1998,RAM KHILAWAN SONKER (SHIKSHAK),AKHIL BHARATIYA ASHOK SENA,0,0
Raebareli,Uttar Pradesh,1998,SHIV BAHADUR,AKHIL BHARATIYA ASHOK SENA,0,0
Ahmednagar,Maharashtra,1996,JADHAV SURESH BALAWANT,AKHIL BHARATIYA BHRASTACHAR NORMOOLAN SENA,0,0
"Gaya, Nawada, and Aurangabad",Bihar,1996,JAGTAP BABAN  JANARDHAN,AKHIL BHARATIYA BHRASTACHAR NORMOOLAN SENA,0,0
Nashik,Maharashtra,1996,KHAN NAJMUL ISLAM AHMED NASIM,AKHIL BHARATIYA BHRASTACHAR NORMOOLAN SENA,0,0
Pune,Maharashtra,1996,OMPRAKASH KHATKE,AKHIL BHARATIYA BHRASTACHAR NORMOOLAN SENA,0,0
Ratnagiri,Maharashtra,1996,SHELAR DYANESHKUMAR GANPATRAO,AKHIL BHARATIYA BHRASTACHAR NORMOOLAN SENA,0,0
Agra,Uttar Pradesh,1996,RANJOR SINGH,AKHIL BHARATIYA BEROZGAAR PARTY,0,0
Allahabad,Uttar Pradesh,1996,SURESH KUMAR TIWARI,AKHIL BHARATIYA BEROZGAAR PARTY,0,0
Amritsar,Punjab,1996,RAMSAGAR,AKHIL BHARATIYA BEROZGAAR PARTY,0,0
Etawah,Uttar Pradesh,1996,SALEEM KHAN,AKHIL BHARATIYA BEROZGAAR PARTY,0,0
Fatehpur,Uttar Pradesh,1996,RAJESH KUMAR PANDEY,AKHIL BHARATIYA BEROZGAAR PARTY,0,0
Gonda,Uttar Pradesh,1996,RAM POORAN,AKHIL BHARATIYA BEROZGAAR PARTY,0,0
Gorakhpur,Uttar Pradesh,1996,MANGAL RAM KUREEL,AKHIL BHARATIYA BEROZGAAR PARTY,0,0
Jaunpur,Uttar Pradesh,1996,JANARDAN SINGH,AKHIL BHARATIYA BEROZGAAR PARTY,0,0
Kanpur Nagar,Uttar Pradesh,1999,ANIL KUMAR GUPTA,AKHIL BHARATIYA BEROZGAAR PARTY,0,0
Lakhimpur Kheri,Uttar Pradesh,1999,EHSAN HUSSAIN RIZVI,AKHIL BHARATIYA BEROZGAAR PARTY,0,0
Raebareli,Uttar Pradesh,1996,KAMJEET SINGH,AKHIL BHARATIYA BEROZGAAR PARTY,0,0
Sitapur,Uttar Pradesh,1996,RADHA KRISHNA,AKHIL BHARATIYA BEROZGAAR PARTY,0,0
Varanasi,Uttar Pradesh,1999,RANA SHAH JAISWAL,AKHIL BHARATIYA BEROZGAAR PARTY,0,0
Patna and Nalanda,Bihar,1996,VIJAY NAND,Akhil Bharatiya Desh Bhakt Morcha,0,0
New Delhi,Delhi,1996,BAL CHAND,AKHIL BHARATIYA DHARMNIRPEKSH DAL,0,0
Bhimnagar,Uttar Pradesh,1996,RAKESH BABU,AKHIL BHARATIYA DALIT UTTHAN PARTY,0,0
Bhiwani,Haryana,1996,RANBIR,AKHIL BHARATIYA DALIT UTTHAN PARTY,0,0
New Delhi,Delhi,1998,PHOOL CHAND KAPOOR,AKHIL BHARATIYA GENERAL LABOUR PARTY,0,0
Meerut,Uttar Pradesh,1998,RAMA DEVI,AKHIL BHARATIYA GARIB MAZDOOR KISAN PARTY,0,0
New Delhi,Delhi,1998,SATPAL JINDAL,AKHIL BHARATIYA GARIB MAZDOOR KISAN PARTY,0,0
Bulandshahr,Uttar Pradesh,1991,RAJPAL SINGH,Akhil Bharatiya Gram Parishad,0,0
Akola,Maharashtra,1998,JOSHI SHALIGRAM MOHANLAL,AKHIL BHARAT HINDU MAHASABHA,0,0
Bhiwani,Haryana,1998,LAXMI,AKHIL BHARAT HINDU MAHASABHA,0,0
Bhojpur and Rohtas,Bihar,1998,SHRIDHAR UPADHAYAY,AKHIL BHARAT HINDU MAHASABHA,0,0
Bikaner,Rajasthan,1996,SHIV SHANKAR VYAS,AKHIL BHARAT HINDU MAHASABHA,0,0
Dharwad,Karnataka,1998,SANTOSH SARVADE,AKHIL BHARAT HINDU MAHASABHA,0,0
Ghaziabad,Uttar Pradesh,1999,GAJENDRA VATAS,AKHIL BHARAT HINDU MAHASABHA,0,0
Guna,Madhya Pradesh,1998,RAMESHWAR SHARMA &quot;VALLABH&quot;,AKHIL BHARAT HINDU MAHASABHA,0,0
Gwalior,Madhya Pradesh,1998,JAGDISH SINGHAL,AKHIL BHARAT HINDU MAHASABHA,0,0
Indore,Madhya Pradesh,1999,MANOHAR LAL ARORA,AKHIL BHARAT HINDU MAHASABHA,0,0
Jhunjhunu,Rajasthan,1998,BIHARI LAL BHARTIYA,AKHIL BHARAT HINDU MAHASABHA,0,0
Jodhpur,Rajasthan,1996,MADAN LAL     S/O PHOOL CHAND,AKHIL BHARAT HINDU MAHASABHA,0,0
Meerut,Uttar Pradesh,1998,SANGRAM,AKHIL BHARAT HINDU MAHASABHA,0,0
Moradabad,Uttar Pradesh,1999,DINESH CHANDRA TYAGI,AKHIL BHARAT HINDU MAHASABHA,0,0
New Delhi,Delhi,1996,MANMOHAN SINGH,AKHIL BHARAT HINDU MAHASABHA,0,0
Rewa,Madhya Pradesh,1996,KASHI NATH,AKHIL BHARAT HINDU MAHASABHA,0,0
Solapur,Maharashtra,1998,KADAM SHAMRAO PIRAJI,AKHIL BHARAT HINDU MAHASABHA,0,0
Tehri Garhwal,Uttaranchal,1998,DARSHAN LAL,AKHIL BHARAT HINDU MAHASABHA,0,0
Akola,Maharashtra,1998,GARAD ANIL DEVIDAS,Akhil Bharatiya Sena,0,0
Amravati,Maharashtra,1999,DESHMUKH ASHOK PUNDLIKRAO,Akhil Bharatiya Sena,0,0
Buldhana,Maharashtra,1998,KALE SUKHDEO NANDAJI,Akhil Bharatiya Sena,1,0
Chandrapur,Maharashtra,1998,GADPALLIWAR NAMDEORAO MALANNAJI,Akhil Bharatiya Sena,0,0
"Goa, Daman, and Diu",Goa,1999,SHAIKH IFTIHAR,Akhil Bharatiya Sena,0,0
Gurgaon and Faridabad,Haryana,1998,PREMPAL SINGH,Akhil Bharatiya Sena,0,0
Jalna,Maharashtra,1998,RAUT RAJESH RAMBHAU,Akhil Bharatiya Sena,0,0
Latur,Maharashtra,1998,PATEL MOHAMAD SALIM,Akhil Bharatiya Sena,0,0
Mumbai City,Maharashtra,1998,RAJU PHILIP KAMLAKAR SHIRSATH,Akhil Bharatiya Sena,0,0
Nanded,Maharashtra,1999,GAIKWAD SOPAN NIVRATI,Akhil Bharatiya Sena,0,0
Nandurbar,Maharashtra,1998,ADV.PADMAKAR VIJESING VALVI,Akhil Bharatiya Sena,0,0
Nashik,Maharashtra,1998,ADV. ARVIND HARIBHAU PATHADE,Akhil Bharatiya Sena,0,0
Pune,Maharashtra,1999,HIRA MOHAN PALANDE,Akhil Bharatiya Sena,0,0
Ratnagiri,Maharashtra,1998,KISHOR SAVANT,Akhil Bharatiya Sena,0,0
Solapur,Maharashtra,1998,SHAIKH FAIYAZ KAYYUM,Akhil Bharatiya Sena,0,0
Thane,Maharashtra,1998,SHARAD VASUDEV NAIK,Akhil Bharatiya Sena,0,0
Yavatmal,Maharashtra,1998,BHADKE GAJANAN KISANRAO,Akhil Bharatiya Sena,0,0
New Delhi,Delhi,1998,RANVIR KUMAR SINGH,AKHIL BHARATIYA JANATA CONGRESS,0,0
Lucknow,Uttar Pradesh,1996,AKHILESH MISHRA,AKHIL BHARATIYA JAGROOK NAGRIK DAL,0,0
Allahabad,Uttar Pradesh,1998,KAMICHCHHA PRASAD,AKHIL BHARATIYA JAN SANGH,0,0
Barmer,Rajasthan,1996,SAWAISINGH KARNOT,AKHIL BHARATIYA JAN SANGH,0,0
Bathinda,Punjab,1998,RADHEY SHYAM,AKHIL BHARATIYA JAN SANGH,0,0
Bhavnagar,Gujarat,1996,CHINMAY PATEL,AKHIL BHARATIYA JAN SANGH,0,0
Bikaner,Rajasthan,1996,AVINASH ACHARYA,AKHIL BHARATIYA JAN SANGH,0,0
Churu,Rajasthan,1996,POONAM CHAND RAJPUROHIT,AKHIL BHARATIYA JAN SANGH,0,0
"Darbhanga, Samastipur, and Madhubani",Bihar,1996,KEDAR NATH LAL,AKHIL BHARATIYA JAN SANGH,0,0
Dhanbad,Bihar,1996,RAJESH KUMAR LAL,AKHIL BHARATIYA JAN SANGH,0,0
Faizabad,Uttar Pradesh,1999,KAMLENDRA,AKHIL BHARATIYA JAN SANGH,0,0
Farrukhabad,Uttar Pradesh,1996,AJIT KUMAR,AKHIL BHARATIYA JAN SANGH,0,0
Gandhinagar,Gujarat,1996,KANANI PURUSHOTTAMBHAI DEVJIBHAI (PATEL),AKHIL BHARATIYA JAN SANGH,0,0
Indore,Madhya Pradesh,1998,RANA RAMPRASAD PURAN YADAV,AKHIL BHARATIYA JAN SANGH,0,0
Jaipur,Rajasthan,1996,NAVEEN CHANDRA SAXENA,AKHIL BHARATIYA JAN SANGH,0,0
Jalandhar,Punjab,1998,KRISHAN PAL BANSAL,AKHIL BHARATIYA JAN SANGH,0,0
Jalaun,Uttar Pradesh,1996,PHOOL BEHARI,AKHIL BHARATIYA JAN SANGH,0,0
Jhalawar,Rajasthan,1996,TEJMAL PORWAL,AKHIL BHARATIYA JAN SANGH,0,0
Jodhpur,Rajasthan,1998,DURGADAN,AKHIL BHARATIYA JAN SANGH,0,0
Kachchh,Gujarat,1996,AMRUTBHAI CHHAGANBHAI PATEL,AKHIL BHARATIYA JAN SANGH,0,0
Kota,Rajasthan,1996,VAIDHYA MOHAN LAL GUPTA,AKHIL BHARATIYA JAN SANGH,0,0
Lucknow,Uttar Pradesh,1996,BHAGWANT PRASAD PANDEY,AKHIL BHARATIYA JAN SANGH,0,0
Ludhiana,Punjab,1998,BHUPINDER YADAV,AKHIL BHARATIYA JAN SANGH,0,0
Mahendragarh,Haryana,1996,PRABHU LAL BATRA,AKHIL BHARATIYA JAN SANGH,0,0
Mahesana,Gujarat,1996,GARASIYA LAXMANJI MEKSANJI,AKHIL BHARATIYA JAN SANGH,0,0
Muzaffarnagar,Uttar Pradesh,1996,PREM SINGH,AKHIL BHARATIYA JAN SANGH,0,0
Raebareli,Uttar Pradesh,1996,DURGA PRASAD,AKHIL BHARATIYA JAN SANGH,0,0
Rajkot,Gujarat,1996,BHARAD LABHSHANKAR RAMJIBHAI,AKHIL BHARATIYA JAN SANGH,0,0
Shahjahanpur,Uttar Pradesh,1998,BADAM,AKHIL BHARATIYA JAN SANGH,0,0
Sikar,Rajasthan,1996,PANDIT SATYANARAYAN SHARMA,AKHIL BHARATIYA JAN SANGH,0,0
Sitapur,Uttar Pradesh,1996,KAMLESH,AKHIL BHARATIYA JAN SANGH,0,0
Udaipur,Rajasthan,1996,RAMESH CHANDRA SHARMA,AKHIL BHARATIYA JAN SANGH,0,0
Udhampur,Jammu & Kashmir,1998,SHASHI KUMAR,AKHIL BHARATIYA JAN SANGH,0,0
Unnao,Uttar Pradesh,1996,VIJAY SHAKAR,AKHIL BHARATIYA JAN SANGH,0,0
Vadodara,Gujarat,1996,GANDOTRA S.M.,AKHIL BHARATIYA JAN SANGH,0,0
Bhimnagar,Uttar Pradesh,1996,JAIBALA KARUNIYA,Vikas Party,0,0
Bhojpur and Rohtas,Bihar,1996,DHARMAVIR SINGH,Vikas Party,0,0
New Delhi,Delhi,1996,RISHI PAL,Vikas Party,0,0
Jhansi,Uttar Pradesh,1996,KAPOOR KHAN,AKHIL BHARTIYA KISAN MAZDOOR MORCHA,0,0
Ranchi,Bihar,1996,JAKARIA,AKHIL BHARATIYA LOK TANTRIK ALP-SANKHYAK JAN MORCHA,0,0
Hardoi,Uttar Pradesh,1999,JAI PRAKASH,Akhil Bhartiya Loktantrik Congress,0,1
Kannauj,Uttar Pradesh,1999,ARVIND PRATAP SINGH,Akhil Bhartiya Loktantrik Congress,0,0
Moradabad,Uttar Pradesh,1999,CHANDRA VIJAY SINGH ALIAS BABY RAJA,Akhil Bhartiya Loktantrik Congress,0,1
Sitapur,Uttar Pradesh,1999,RAM PAL VERMA,Akhil Bhartiya Loktantrik Congress,0,0
Bahraich,Uttar Pradesh,1996,JAVED KAREEM,AKHIL BHARTIYA LOKTANTRA PARTY,0,0
Balrampur,Uttar Pradesh,1996,MOHD ARSHAD,AKHIL BHARTIYA LOKTANTRA PARTY,0,0
Bulandshahr,Uttar Pradesh,1999,DR. HARI SINGH AZAD,AKHIL BHARTIYA LOKTANTRA PARTY,0,0
Fatehpur,Uttar Pradesh,1996,JAGPAL SINGH SOLANKI,AKHIL BHARTIYA LOKTANTRA PARTY,0,0
Gonda,Uttar Pradesh,1996,RAM SAJAN,AKHIL BHARTIYA LOKTANTRA PARTY,0,0
Meerut,Uttar Pradesh,1996,HARI SINGH AZAD,AKHIL BHARTIYA LOKTANTRA PARTY,0,0
Mirzapur,Uttar Pradesh,1996,MOHAMMED PAHIJ,AKHIL BHARTIYA LOKTANTRA PARTY,0,0
Raebareli,Uttar Pradesh,1996,BAL ROOP,AKHIL BHARTIYA LOKTANTRA PARTY,0,0
Sant Kabir Nagar,Uttar Pradesh,1996,SAYED FIROZ ASHRAF,AKHIL BHARTIYA LOKTANTRA PARTY,0,0
Shahjahanpur,Uttar Pradesh,1996,SHAKEEL AHSAN,AKHIL BHARTIYA LOKTANTRA PARTY,0,0
Sitapur,Uttar Pradesh,1996,FERI LAL VERMA,AKHIL BHARTIYA LOKTANTRA PARTY,0,0
Tehri Garhwal,Uttaranchal,1996,K.R SHARMA,AKHIL BHARTIYA LOKTANTRA PARTY,0,0
New Delhi,Delhi,1999,SHAILENDRA,Akhil Bharatiya Manav Adhikar Dal,0,0
Banka,Bihar,1998,SHANKAR PASWAN,AKHIL BARTIYA MANAV SEVA DAL,0,0
Baramulla,Jammu & Kashmir,1998,WALI MOHMAD WANI,AKHIL BARTIYA MANAV SEVA DAL,0,0
Bathinda,Punjab,1996,JAGRAJ SINGH,AKHIL BARTIYA MANAV SEVA DAL,0,0
"Gaya, Nawada, and Aurangabad",Bihar,1998,YAMUNA MUNJHI,AKHIL BARTIYA MANAV SEVA DAL,0,0
Jhansi,Uttar Pradesh,1998,CHAMAN LAL BAVARA,AKHIL BARTIYA MANAV SEVA DAL,0,0
Mumbai City,Maharashtra,1998,SANJAY SAVJI DESHPANDE,AKHIL BARTIYA MANAV SEVA DAL,0,0
Chittaurgarh,Rajasthan,1996,MOHAMMAD RAFI,AKHIL BHARATIYA MAHASAND SARVAHARA KRANTIKARI PART,0,0
Jhalawar,Rajasthan,1996,AJIT SINGH MADHUKAR,AKHIL BHARATIYA MAHASAND SARVAHARA KRANTIKARI PART,0,0
Kota,Rajasthan,1996,SAMUDRA SINGH HADA,AKHIL BHARATIYA MAHASAND SARVAHARA KRANTIKARI PART,0,0
New Delhi,Delhi,1996,ANWAR KHAN,AKHIL BHARATIYA MAHASAND SARVAHARA KRANTIKARI PART,0,0
Faizabad,Uttar Pradesh,1998,KRIPA SHANKER,AMBEDKARBADI PARTY,0,0
Farrukhabad,Uttar Pradesh,1999,ABHILASH JATAV,AMBEDKARBADI PARTY,0,0
Chittaurgarh,Rajasthan,1996,AMINUDDIN,AKHIL BHARATIYA RASHTRIYA AZAD HIND PARTY,0,0
Jhalawar,Rajasthan,1996,GURU PAL SINGH,AKHIL BHARATIYA RASHTRIYA AZAD HIND PARTY,0,0
Kota,Rajasthan,1996,KAMAL KUMAR,AKHIL BHARATIYA RASHTRIYA AZAD HIND PARTY,0,0
Kanpur Nagar,Uttar Pradesh,1998,SURYA NARAIN,AKHIL BHARATIYA RAJIVWADI CONGRESS (DUBEY),0,0
Raebareli,Uttar Pradesh,1998,BUDHIRAJ SAROJ,AKHIL BHARATIYA RAJIVWADI CONGRESS (DUBEY),0,0
Rupnagar,Punjab,1998,MOHINDER LAL,AKHIL BHARATIYA RAJIVWADI CONGRESS (DUBEY),0,0
Ballia,Uttar Pradesh,1996,KRISHNA KUMAR SINGH,,0,0
Varanasi,Uttar Pradesh,1996,NAMWAR SHASTRI VYAS,,0,0
Hyderabad,Andhra Pradesh,1996,RAJA RAM SHASTRI P.,Akhil Bharatiya Ram Rajya Parishad,0,0
Bijnor,Uttar Pradesh,1996,GHASI RAM,ARYA SABHA,0,0
Kanpur Nagar,Uttar Pradesh,1996,SHAILENDRA KUMAR,ARYA SABHA,0,0
Latur,Maharashtra,1998,SARWADE KAMALAKAR RUKMAJI,AKHIL BHARATIYA REVOLUTIONARY SHOSHIT SAMAJ DAL,0,0
Patna and Nalanda,Bihar,1991,SATYENDRA NATH VERMA,INDIAN DEMOCRATIC PEOPLE'S PARTY,0,0
Muzaffarnagar,Uttar Pradesh,1999,MANGU SINGH,AKHIL BHARATIYA SHIVSENA RASHTRAWADI,0,0
New Delhi,Delhi,1996,BHUNESHWAR KUMAR,AKHIL BHARATIYA SHIVSENA RASHTRAWADI,0,0
Arunachal East,Arunachal Pradesh,1998,WANGCHA RAJKUMAR,Arunachal Congress,1,1
Arunachal West,Arunachal Pradesh,1998,OMAK APANG,Arunachal Congress,0,1
Agra,Uttar Pradesh,1996,SONE LAL PATEL,Apna Dal,0,0
Aligarh,Uttar Pradesh,1998,JAWAHAR LAL BAGHEL,Apna Dal,0,0
Allahabad,Uttar Pradesh,1996,KAILASH NATH SINGH PATEL,Apna Dal,0,0
Ambedkar Nagar,Uttar Pradesh,1996,RAM NARESH KANNAUJIA,Apna Dal,0,0
Amritsar,Punjab,1962,NARINDER SINGH,Apna Dal,0,0
Azamgarh,Uttar Pradesh,1996,NAND LAL YADAV S/O DEEPA,Apna Dal,0,0
Bahraich,Uttar Pradesh,1996,INDRA NATH,Apna Dal,0,0
Ballia,Uttar Pradesh,1999,DEO NATH RAJBHAR,Apna Dal,0,0
Balrampur,Uttar Pradesh,1996,BABOO HEMANT RAO,Apna Dal,0,0
Banda,Uttar Pradesh,1996,TRIBHUWAN,Apna Dal,0,0
Barabanki,Uttar Pradesh,1996,BIHARI LAL,Apna Dal,0,0
Bareilly,Uttar Pradesh,1996,BALIHARI PATEL,Apna Dal,0,0
Basti,Uttar Pradesh,1996,RAM CHANDER GOND,Apna Dal,0,0
Bathinda,Punjab,1962,DHANNA SINGH,Apna Dal,0,1
Bhojpur and Rohtas,Bihar,1998,MOHAMMAD AHMAD SULTAN,Apna Dal,0,0
Chandauli,Uttar Pradesh,1998,UMESH CHANDRA MAURYA,Apna Dal,0,0
Chandigarh,Chandigarh,1998,SHYAM BAHADUR SINGH,Apna Dal,0,0
Chhatrapati Shahuji Maharaj Nagar,Uttar Pradesh,1996,VISHWESWAR PATEL,Apna Dal,0,0
Damoh,Madhya Pradesh,1998,NANDRAM BHAGIRATH,Apna Dal,0,0
Deoria,Uttar Pradesh,1996,SADANAND,Apna Dal,0,0
Etawah,Uttar Pradesh,1999,LAKHAN SINGH BAGHEL,Apna Dal,0,0
Faizabad,Uttar Pradesh,1996,HARI SHANKER SAFRIWALA MAURYA,Apna Dal,0,0
Fatehpur,Uttar Pradesh,1996,BABBU SINGH PATEL,Apna Dal,0,0
Firozabad,Uttar Pradesh,1998,NIHAL SINGH,Apna Dal,0,0
Firozpur,Punjab,1962,TARA SINGH,Apna Dal,0,0
Ghazipur,Uttar Pradesh,1996,RAJENDER,Apna Dal,0,0
Gonda,Uttar Pradesh,1996,MAHESH LAL,Apna Dal,0,0
Gorakhpur,Uttar Pradesh,1996,RADHA KRISHAN MALL,Apna Dal,0,0
Gurdaspur,Punjab,1962,NATHA SINGH,Apna Dal,0,0
Hardoi,Uttar Pradesh,1999,DR. MAHESH PRASAD,Apna Dal,0,0
Hathras,Uttar Pradesh,1998,VEERPAL SURYAVANSHI,Apna Dal,0,0
Hoshangabad,Madhya Pradesh,1998,BUDDHASEN PATEL,Apna Dal,0,0
Jalaun,Uttar Pradesh,1996,SURINDER,Apna Dal,0,0
Janjgir-Champa,Chhattisgarh,1998,SHREERAM SALONE SING,Apna Dal,0,0
Jaunpur,Uttar Pradesh,1996,VIJAY CHAND PATEL,Apna Dal,0,0
Jhansi,Uttar Pradesh,1996,PRAKASH RAIKWAR,Apna Dal,0,0
"Kangra, Hamirpur, and Una",Himachal Pradesh,1998,PHOOL SINGH KUSHWAHA,Apna Dal,0,0
Kannauj,Uttar Pradesh,1996,LAXMI NARAIN VERMA,Apna Dal,0,0
Kanpur Nagar,Uttar Pradesh,1996,PRABHA NIGAM,Apna Dal,0,0
Kaushambi,Uttar Pradesh,1996,LAKHAN SINGH PASSI,Apna Dal,0,0
Kushinagar,Uttar Pradesh,1998,AMIRUDDIN,Apna Dal,0,0
Lakhimpur Kheri,Uttar Pradesh,1996,OM PRAKASH PATEL,Apna Dal,0,0
Lucknow,Uttar Pradesh,1999,ARUN KUMAR,Apna Dal,0,0
